"VersionA","VersionB","type","trial_label"
"The talented musician was a performer who on some days would sing opera.","The talented musician was a performer who would sing opera on some days.","filler",1
"Each new adventure is an experience that at the start will feel uncomfortable.","Each new adventure is an experience that will feel uncomfortable at the start.","filler",2
"That old song was a tune that by the end would sound familiar.","That old song was a tune that would sound familiar by the end.","filler",3
"That abstract painting was a work that after a minute would look boring.","That abstract painting was a work that would look boring after a minute.","filler",4
"The delicate pastry is a food that before too long could lose flavor.","The delicate pastry is a food that could lose flavor before too long.","filler",5
"A guard dog is a pet that during the night must keep watch.","A guard dog is a pet that must keep watch during the night.","filler",6
"That quiet teenager was an employee who at closing time would wash dishes.","That quiet teenager was an employee who would wash dishes at closing time.","filler",7
"The beautiful wedding was an event that for some time will be remembered.","The beautiful wedding was an event that will be remembered for some time.","filler",8
"That stubborn stain is an annoyance that by this point should be gone.","That stubborn stain is an annoyance that should be gone by this point.","filler",9
"The chocolate cake is a dessert that later this evening must be baked.","The chocolate cake is a dessert that must be baked later this evening.","filler",10
"The young man was a student who in the library would read books.","The young man was a student who would read books in the library.","filler",11
"The older customer was a patron who at this cafe would sip coffee.","The older customer was a patron who would sip coffee at this cafe.","filler",12
"The stern captain is the officer who on the boat could give orders.","The stern captain is the officer who could give orders on the boat.","filler",13
"The young intellectual is a writer who in the park would write poetry.","The young intellectual is a writer who would write poetry in the park.","filler",14
"The serious weightlifter was an athlete who at the gym would rarely speak.","The serious weightlifter was an athlete who would rarely speak at the gym.","filler",15
"The new teacher is a vocalist who at this school will teach music.","The new teacher is a vocalist who will teach music at this school.","filler",16
"The amateur chef was a cook who in the kitchen would develop recipes.","The amateur chef was a cook who would develop recipes in the kitchen.","filler",17
"The experienced artist is a master who by the statue will paint portraits.","The experienced artist is a master who will paint portraits by the statue.","filler",18
"That gray squirrel was a creature that near the tree would bury nuts.","That gray squirrel was a creature that would bury nuts near the tree.","filler",19
"The post office was a service that around the world would deliver letters.","The post office was a service that would deliver letters around the world.","filler",20
"That rare edition was a book  which the collector would always look out for.","That rare edition was a book  out for which the collector would always look.","particle",1
"This new technology is a subject which all professionals must tirelessly keep up with.","This new technology is a subject up with which all professionals must tirelessly keep.","particle",2
"The first snowfall was an event which my brother would impatiently look forward to.","The first snowfall was an event forward to which my brother would impatiently look.","particle",3
"The popular shampoo was a product which the store would regularly run out of.","The popular shampoo was a product out of which the store would regularly run.","particle",4
"This secure cell was an area which no prisoner could ever break out of.","This secure cell was an area out of which no prisoner could ever break.","particle",5
"Her first birthday is an event which her dad must unfortunately miss out on.","Her first birthday is an event out on which her dad must unfortunately miss.","particle",6
"The unsigned contract is a deal which the businesswoman could still back out of.","The unsigned contract is a deal out of which the businesswoman could still back.","particle",7
"The  upcoming release is an update which the programmer will gladly help out with.","The  upcoming release is an update out with which the programmer will gladly help.","particle",8
"The difficult hike is a challenge which any adventurer should carefully gear up for.","The difficult hike is a challenge up for which any adventurer should carefully gear.","particle",9
"The tough test was a milestone which no student could ever feel up to.","The tough test was a milestone up to which no student could ever feel.","particle",10
"My friendly uncle is a relative whom most everyone can easily get along with.","My friendly uncle is a relative along with whom most everyone can easily get.","particle",11
"This kind woman was a friend whom my aunt would frequently catch up with.","This kind woman was a friend up with whom my aunt would frequently catch.","particle",12
"Their dishonest mother was a liar whom the children could never make up with.","Their dishonest mother was a liar up with whom the children could never make.","particle",13
