"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","Comments"
1552428378,216,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427583570,"NULL"
1552428378,216,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427586290,"NULL"
1552428378,216,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427588144,"NULL"
1552428294,217,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427978600,"NULL"
1552428294,217,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427988813,"NULL"
1552428294,217,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427989799,"NULL"
1552428083,218,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427507697,"NULL"
1552428083,218,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427519318,"NULL"
1552428083,218,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427522667,"NULL"
1552430601,219,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552429324802,"NULL"
1552430601,219,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552429364488,"NULL"
1552430601,219,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552429365442,"NULL"
1552428228,220,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427434916,"NULL"
1552428228,220,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427449132,"NULL"
1552428228,220,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427450328,"NULL"
1552432074,221,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552431224991,"NULL"
1552432074,221,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552431235009,"NULL"
1552432074,221,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552431236089,"NULL"
1552428468,222,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427667734,"NULL"
1552428468,222,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427678491,"NULL"
1552428468,222,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427679646,"NULL"
1552429986,223,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552429450124,"NULL"
1552429986,223,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552429462572,"NULL"
1552429986,223,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552429468742,"NULL"
1552429117,224,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428891434,"NULL"
1552429117,224,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428904183,"NULL"
1552429117,224,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428905501,"NULL"
1552428407,225,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427553141,"NULL"
1552428407,225,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427568853,"NULL"
1552428407,225,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427572408,"NULL"
1552428828,226,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427501375,"NULL"
1552428828,226,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427533121,"NULL"
1552428828,226,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427535178,"NULL"
1552429461,227,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428353860,"NULL"
1552429461,227,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428405338,"NULL"
1552429461,227,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428407111,"NULL"
1552428992,228,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428511070,"NULL"
1552428992,228,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428513339,"NULL"
1552428992,228,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428514565,"NULL"
1552428015,229,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427350440,"NULL"
1552428015,229,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427372664,"NULL"
1552428015,229,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427374933,"NULL"
1552432212,230,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552431475120,"NULL"
1552432212,230,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552431491144,"NULL"
1552432212,230,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552431495198,"NULL"
1552429465,231,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428699873,"NULL"
1552429465,231,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428734469,"NULL"
1552429465,231,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428735488,"NULL"
1552428036,232,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427418007,"NULL"
1552428036,232,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427434684,"NULL"
1552428036,232,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427437476,"NULL"
1552439051,233,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552438036982,"NULL"
1552439051,233,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552438052608,"NULL"
1552439051,233,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552438054198,"NULL"
1552429264,234,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427939360,"NULL"
1552429264,234,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427953951,"NULL"
1552429264,234,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427956328,"NULL"
1552429522,235,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428624047,"NULL"
1552429522,235,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428636603,"NULL"
1552429522,235,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428638407,"NULL"
1552427673,236,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427003407,"NULL"
1552427673,236,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427015807,"NULL"
1552427673,236,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427017297,"NULL"
1552429251,237,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428246097,"NULL"
1552429251,237,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428320359,"NULL"
1552429251,237,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428321768,"NULL"
1552429035,238,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428363070,"NULL"
1552429035,238,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428386807,"NULL"
1552429035,238,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428387967,"NULL"
1552428199,239,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427889972,"NULL"
1552428199,239,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427897606,"NULL"
1552428199,239,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427898329,"NULL"
1552429511,240,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428164880,"NULL"
1552429511,240,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428213731,"NULL"
1552429511,240,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428216767,"NULL"
1552428518,241,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427571456,"NULL"
1552428518,241,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427603710,"NULL"
1552428518,241,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427605051,"NULL"
1552429501,242,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552429224013,"NULL"
1552429501,242,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552429263891,"NULL"
1552429501,242,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552429265100,"NULL"
1552432190,243,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552431594728,"NULL"
1552432190,243,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552431604284,"NULL"
1552432190,243,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552431606400,"NULL"
1552427644,244,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427186404,"NULL"
1552427644,244,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427198462,"NULL"
1552427644,244,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427199482,"NULL"
1552434751,245,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552433193477,"NULL"
1552434751,245,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552433321345,"NULL"
1552434751,245,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552433324787,"NULL"
1552430402,246,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552430262956,"NULL"
1552430402,246,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552430268908,"NULL"
1552430402,246,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552430270089,"NULL"
1552430042,247,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552429677299,"NULL"
1552430042,247,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552429679192,"NULL"
1552430042,247,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552429680042,"NULL"
1552428752,248,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427802450,"NULL"
1552428752,248,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427835119,"NULL"
1552428752,248,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427836225,"NULL"
1552433673,249,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552433145516,"NULL"
1552433673,249,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552433223274,"NULL"
1552433673,249,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552433224576,"NULL"
1552428557,250,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552462552152,"NULL"
1552428557,250,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552462554046,"NULL"
1552428557,250,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552462554984,"NULL"
1552429841,251,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428314065,"NULL"
1552429841,251,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428323895,"NULL"
1552429841,251,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428328265,"NULL"
1552429508,252,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428908653,"NULL"
1552429508,252,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428912470,"NULL"
1552429508,252,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428913842,"NULL"
1552429690,253,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428996907,"NULL"
1552429690,253,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552429001312,"NULL"
1552429690,253,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552429014353,"NULL"
1552428501,254,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427827704,"NULL"
1552428501,254,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427840987,"NULL"
1552428501,254,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427842730,"NULL"
1552429623,255,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552429183260,"NULL"
1552429623,255,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552429191395,"NULL"
1552429623,255,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552429194539,"NULL"
1552428372,256,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552427911702,"NULL"
1552428372,256,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552427936069,"NULL"
1552428372,256,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552427937804,"NULL"
1552430320,257,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552429883759,"NULL"
1552430320,257,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552429888230,"NULL"
1552430320,257,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552429889540,"NULL"
1552428854,258,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428638396,"NULL"
1552428854,258,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428645724,"NULL"
1552428854,258,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428646560,"NULL"
1552429231,259,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428353631,"NULL"
1552429231,259,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428369411,"NULL"
1552429231,259,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428371228,"NULL"
1552429376,260,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552428404288,"NULL"
1552429376,260,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552428428209,"NULL"
1552429376,260,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","End",1552428429984,"NULL"
1552427815,261,"PennController",67,0,"instruction_check","NULL","PennController",5,"_Trial_","Start",1552452854942,"NULL"
1552427815,261,"PennController",67,0,"instruction_check","NULL","Selector","instruction_verification","Selection","choice2",1552452855865,"NULL"
