"Time results were received","MD5 hash of participants IP address","Controller name","Item number","Element number","Type","Group","PennElementType","PennElementName","Parameter","Value","EventTime","Instruction","Comments"
1552747083,267,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552746766885,"tutor","NULL"
1552747083,267,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552746768822,"tutor","NULL"
1552748857,268,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552747980741,"professor","NULL"
1552748857,268,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552748023285,"professor","NULL"
1552750738,269,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552749532088,"professor","NULL"
1552750738,269,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552749545683,"professor","NULL"
1552747638,270,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552746879658,"tutor","NULL"
1552747638,270,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552746881276,"tutor","NULL"
1552752588,271,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552750182386,"intuitive_plain","NULL"
1552752588,271,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552750188782,"intuitive_plain","NULL"
1552747868,272,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552747645064,"professor","NULL"
1552747868,272,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552747667125,"professor","NULL"
1552748409,273,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552746719693,"tutor","NULL"
1552748409,273,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552746810705,"tutor","NULL"
1552747535,274,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552746745263,"tutor","NULL"
1552747535,274,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552746767057,"tutor","NULL"
1552747455,275,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552747203058,"tutor","NULL"
1552747455,275,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552747204901,"tutor","NULL"
1552748101,276,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552747439774,"tutor","NULL"
1552748101,276,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552747482028,"tutor","NULL"
1552749240,277,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552748380796,"tutor","NULL"
1552749240,277,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552748384696,"tutor","NULL"
1552750596,278,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552750195423,"professor","NULL"
1552750596,278,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552750221271,"professor","NULL"
1552747365,279,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","Start",1552746998917,"professor","NULL"
1552747365,279,"PennController",1,0,"Instruction","NULL","PennController",6,"_Trial_","End",1552746999633,"professor","NULL"
